ablation_id	component_family	scenario	setting_id	repeat	variant_label	n_cells	n_genes	false_signal	false_call	ari	nmi	rare_f1	rare_precision	rare_recall	power_pass	config_whiten	config_pc_rule	config_hvg_rule	config_embedding_rule	config_rare_state_guard	config_min_embedding_pcs	config_n_permutations	config_tw_alpha	analysis_status	no_call_reason	n_signal_pcs	n_embedding_pcs	cluster_n	selected_hvg_n	strict_signal_pcs	accepted_embedding_pcs	near_edge_candidate_pcs	embedding_pc_stability_min	embedding_pc_stability_median	null_false_positive_rate	selected_edge	mp_edge	tw_edge	runtime_seconds	peak_memory_mb	prevalence	effect_size	batch_states	batch_markers_per_state	batch_dropout_rate	batch_ari	batch_nmi	batch_aware
rare_state_guard_off	rare_state_guard	realistic_null	gene_permutation_null	7	rare-state guard off	180	360	0.0	0.0							biwhiten	mp_tw	spectral_stability	adaptive_near_edge	off	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	0	0	1	240	0	0	0				5.018966156143387	4.817733429488781	5.018966156143387	0.11749699999927543	3.636223793029785								False
force_min_embedding_pcs_10	no_call_contract	realistic_null	gene_permutation_null	7	force minimum 10 embedding PCs	180	360	0.0	1.0							biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	0	0.01	ok		0	10	3	240	0	10	4	0.7204811043122687	0.7706608607504748		5.018966156143387	4.817733429488781	5.018966156143387	2.3376480000151787	7.051501274108887								False
whiten_zscore	biwhitening	realistic_null	gene_permutation_null	7	z-score whitening	180	360	0.0	0.0							zscore	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	0	0	1	240	0	0	0				4.988479510619678	4.788469129486924	4.988479510619678	0.06139640000765212	3.411534309387207								False
default_v3_3	reference	realistic_null	library_stratified_gene_null	7	default RMTGuard v3.3	180	360	0.0	0.0							biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				6.0882302652706715	5.875614943450899	6.0882302652706715	0.14690399999381043	4.247387886047363								False
pc_rule_mp_only	pc_calibration	realistic_null	library_stratified_gene_null	7	MP edge only	180	360	0.0	0.0							biwhiten	mp	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				5.875614943450899	5.875614943450899	6.0882302652706715	0.14832489998661913	3.6361379623413086								False
pc_rule_mp_tw_permutation	pc_calibration	realistic_null	library_stratified_gene_null	7	MP + TW + permutation	180	360	0.0	0.0							biwhiten	mp_tw_permutation	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	3	0.1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0			0.0	5.992741664513303	5.875614943450899	5.992741664513303	0.17587340000318363	3.636241912841797								False
hvg_rule_dispersion	hvg_selection	realistic_null	library_stratified_gene_null	7	dispersion HVG	180	360	0.0	0.0							biwhiten	mp_tw	dispersion	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				6.0882302652706715	5.875614943450899	6.0882302652706715	0.1489309000025969	3.636301040649414								False
hvg_rule_spectral_plateau	hvg_selection	realistic_null	library_stratified_gene_null	7	spectral plateau HVG	180	360	0.0	0.0							biwhiten	mp_tw	spectral_plateau	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	120	1	0	0				3.6317468850790338	3.450443064319515	3.6317468850790338	0.16419870001845993	3.6361875534057617								False
embedding_strict_signal	adaptive_embedding	realistic_null	library_stratified_gene_null	7	strict signal embedding	180	360	0.0	0.0							biwhiten	mp_tw	spectral_stability	strict_signal	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				6.0882302652706715	5.875614943450899	6.0882302652706715	0.14892139998846687	3.6360883712768555								False
rare_state_guard_off	rare_state_guard	realistic_null	library_stratified_gene_null	7	rare-state guard off	180	360	0.0	0.0							biwhiten	mp_tw	spectral_stability	adaptive_near_edge	off	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				6.0882302652706715	5.875614943450899	6.0882302652706715	0.14953049999894574	3.6361379623413086								False
force_min_embedding_pcs_10	no_call_contract	realistic_null	library_stratified_gene_null	7	force minimum 10 embedding PCs	180	360	0.0	1.0							biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	0	0.01	ok		1	10	3	360	1	10	6	0.5287883075911486	0.6694262753158863		6.0882302652706715	5.875614943450899	6.0882302652706715	2.690968300012173	7.384851455688477								False
whiten_zscore	biwhitening	realistic_null	library_stratified_gene_null	7	z-score whitening	180	360	0.0	0.0							zscore	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				5.894883400731987	5.6890202062194275	5.894883400731987	0.06684239997412078	3.8991565704345703								False
default_v3_3	reference	rare_state_power	prevalence_0.020_effect_6.00	7	default RMTGuard v3.3	180	360			0.06922888823664432	0.20744606380861205	1.0	1.0	1.0	1.0	biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		2	4	4	360	2	4	7	0.8136165295162645	0.9506338673984838		5.973516926662983	5.764907664460275	5.973516926662983	2.089897400001064	8.048882484436035	0.02	6.0						False
pc_rule_mp_only	pc_calibration	rare_state_power	prevalence_0.020_effect_6.00	7	MP edge only	180	360			0.08006794914608828	0.23966345427225463	1.0	1.0	1.0	1.0	biwhiten	mp	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		2	3	3	360	2	3	9	0.9159965862307131	1.0		5.764907664460275	5.764907664460275	5.973516926662983	1.762578299996676	6.994280815124512	0.02	6.0						False
pc_rule_mp_tw_permutation	pc_calibration	rare_state_power	prevalence_0.020_effect_6.00	7	MP + TW + permutation	180	360			0.08006794914608828	0.23966345427225463	1.0	1.0	1.0	1.0	biwhiten	mp_tw_permutation	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	3	0.1	ok		2	3	3	360	2	3	8	0.8459243399084904	1.0	0.0	5.879827504930484	5.764907664460275	5.879827504930484	1.9049883999978192	6.993340492248535	0.02	6.0						False
hvg_rule_dispersion	hvg_selection	rare_state_power	prevalence_0.020_effect_6.00	7	dispersion HVG	180	360			0.05704830058451836	0.18486581249537584	1.0	1.0	1.0	1.0	biwhiten	mp_tw	dispersion	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		2	5	4	360	2	5	7	0.7917921737043923	0.9335904037646733		5.973516926662983	5.764907664460275	5.973516926662983	1.9913377999910153	7.196311950683594	0.02	6.0						False
hvg_rule_spectral_plateau	hvg_selection	rare_state_power	prevalence_0.020_effect_6.00	7	spectral plateau HVG	180	360			0.06502779804528079	0.19839788799342023	1.0	1.0	1.0	1.0	biwhiten	mp_tw	spectral_plateau	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		2	4	4	120	2	4	2	0.8326687710672964	0.9704426114350354		3.466461210137808	3.2934087695905996	3.466461210137808	1.951639000006253	6.20594596862793	0.02	6.0						False
embedding_strict_signal	adaptive_embedding	rare_state_power	prevalence_0.020_effect_6.00	7	strict signal embedding	180	360			0.0673971334300802	0.202834656516009	1.0	1.0	1.0	1.0	biwhiten	mp_tw	spectral_stability	strict_signal	adaptive_binary_split	0	0	0.01	ok		2	2	4	360	2	2	7	1.0	1.0		5.973516926662983	5.764907664460275	5.973516926662983	1.4945769000041764	6.747608184814453	0.02	6.0						False
rare_state_guard_off	rare_state_guard	rare_state_power	prevalence_0.020_effect_6.00	7	rare-state guard off	180	360			0.013622111376024086	0.013824764472664123	0.12903225806451613	0.07407407407407407	0.5	0.0	biwhiten	mp_tw	spectral_stability	adaptive_near_edge	off	0	0	0.01	ok		2	4	3	360	2	4	7	0.7927379426826795	0.9616078101827414		5.973516926662983	5.764907664460275	5.973516926662983	0.9970175999915227	7.153999328613281	0.02	6.0						False
force_min_embedding_pcs_10	no_call_contract	rare_state_power	prevalence_0.020_effect_6.00	7	force minimum 10 embedding PCs	180	360			0.05825669902336332	0.18766143266694302	1.0	1.0	1.0	1.0	biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	0	0.01	ok		2	10	4	360	2	10	7	0.555254818786844	0.7839789307039571		5.973516926662983	5.764907664460275	5.973516926662983	2.56441459999769	7.466245651245117	0.02	6.0						False
whiten_zscore	biwhitening	rare_state_power	prevalence_0.020_effect_6.00	7	z-score whitening	180	360			0.08006794914608828	0.23966345427225463	1.0	1.0	1.0	1.0	zscore	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		2	3	3	360	2	3	8	0.7769531200462161	1.0		5.843647568982157	5.639573650233088	5.843647568982157	1.8594992999860551	7.910955429077148	0.02	6.0						False
default_v3_3	reference	rare_state_power	prevalence_0.040_effect_4.00	7	default RMTGuard v3.3	180	360			0.13245677546823792	0.3323910292548966	1.0	1.0	1.0	1.0	biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		2	3	3	360	2	3	4	0.914412197885409	1.0		5.979680991277557	5.770856465439172	5.979680991277557	2.1010559999849647	7.878098487854004	0.04	4.0						False
pc_rule_mp_only	pc_calibration	rare_state_power	prevalence_0.040_effect_4.00	7	MP edge only	180	360			0.13190242077979014	0.3320015990653785	1.0	1.0	1.0	1.0	biwhiten	mp	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		2	4	3	360	2	4	8	0.7732908309531241	0.9168958032793966		5.770856465439172	5.770856465439172	5.979680991277557	2.1986381000024267	6.969182014465332	0.04	4.0						False
pc_rule_mp_tw_permutation	pc_calibration	rare_state_power	prevalence_0.040_effect_4.00	7	MP + TW + permutation	180	360			0.12225311217029121	0.3080129691937114	1.0	1.0	1.0	1.0	biwhiten	mp_tw_permutation	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	3	0.1	ok		2	3	4	360	2	3	6	0.7829228450661234	1.0	0.0	5.8858948915484355	5.770856465439172	5.8858948915484355	2.397945900011109	7.002645492553711	0.04	4.0						False
hvg_rule_dispersion	hvg_selection	rare_state_power	prevalence_0.040_effect_4.00	7	dispersion HVG	180	360			0.0981164079144092	0.26785778895507034	1.0	1.0	1.0	1.0	biwhiten	mp_tw	dispersion	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		2	2	4	360	2	2	4	1.0	1.0		5.979680991277557	5.770856465439172	5.979680991277557	1.6384635999856982	6.741026878356934	0.04	4.0						False
hvg_rule_spectral_plateau	hvg_selection	rare_state_power	prevalence_0.040_effect_4.00	7	spectral plateau HVG	180	360			0.13098289756442708	0.3313552681598834	1.0	1.0	1.0	1.0	biwhiten	mp_tw	spectral_plateau	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		2	2	3	120	2	2	3	1.0	1.0		3.4334469804397507	3.262042674020029	3.4334469804397507	1.8831992000050377	5.932170867919922	0.04	4.0						False
embedding_strict_signal	adaptive_embedding	rare_state_power	prevalence_0.040_effect_4.00	7	strict signal embedding	180	360			0.0981164079144092	0.26785778895507034	1.0	1.0	1.0	1.0	biwhiten	mp_tw	spectral_stability	strict_signal	adaptive_binary_split	0	0	0.01	ok		2	2	4	360	2	2	4	1.0	1.0		5.979680991277557	5.770856465439172	5.979680991277557	1.981905499997083	6.740474700927734	0.04	4.0						False
rare_state_guard_off	rare_state_guard	rare_state_power	prevalence_0.040_effect_4.00	7	rare-state guard off	180	360			0.007445895663596317	0.012985092884247075	0.11235955056179776	0.06097560975609756	0.7142857142857143	0.0	biwhiten	mp_tw	spectral_stability	adaptive_near_edge	off	0	0	0.01	ok		2	3	2	360	2	3	4	0.82338965782932	1.0		5.979680991277557	5.770856465439172	5.979680991277557	1.0792034000041895	6.961177825927734	0.04	4.0						False
force_min_embedding_pcs_10	no_call_contract	rare_state_power	prevalence_0.040_effect_4.00	7	force minimum 10 embedding PCs	180	360			0.0001666781142512728	0.05947564207283768	0.1590909090909091	0.08641975308641975	1.0	0.0	biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	0	0.01	ok		2	10	3	360	2	10	4	0.7153906117404278	0.8444517485947025		5.979680991277557	5.770856465439172	5.979680991277557	3.3792188999941573	7.29298210144043	0.04	4.0						False
whiten_zscore	biwhitening	rare_state_power	prevalence_0.040_effect_4.00	7	z-score whitening	180	360			0.13190242077979014	0.3320015990653785	1.0	1.0	1.0	1.0	zscore	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		2	4	3	360	2	4	6	0.7841864779155866	0.9208428130528503		5.842551546657542	5.638515903586152	5.842551546657542	2.544030799996108	7.885638236999512	0.04	4.0						False
default_v3_3	reference	batch_effect	planted_states_with_batch_effect	7	default RMTGuard v3.3	180	360			0.7583457276202574	0.7345054509612357					biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		4	5	4	360	4	5	5	0.8329073154279698	1.0		5.643040210132709	5.445971972230583	5.643040210132709	2.53571299999021	7.840022087097168			3.0	12.0	0.1	0.0008676736054241058	0.009088980658424317	False
pc_rule_mp_only	pc_calibration	batch_effect	planted_states_with_batch_effect	7	MP edge only	180	360			0.7007327781387199	0.6807596218215046					biwhiten	mp	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		4	7	4	360	4	7	8	0.7579504870659814	1.0		5.445971972230583	5.445971972230583	5.643040210132709	3.0808914999943227	7.135598182678223			3.0	12.0	0.1	0.005483982306114701	0.013964334024223202	False
pc_rule_mp_tw_permutation	pc_calibration	batch_effect	planted_states_with_batch_effect	7	MP + TW + permutation	180	360			0.8066532768218624	0.7736185863969053					biwhiten	mp_tw_permutation	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	3	0.1	ok		4	7	4	360	4	7	4	0.758022833304185	1.0	0.3333333333333333	5.870093103231431	5.445971972230583	5.554534028499451	2.8028936000191607	7.144960403442383			3.0	12.0	0.1	-0.004849544194192058	0.0029716311834837713	False
hvg_rule_dispersion	hvg_selection	batch_effect	planted_states_with_batch_effect	7	dispersion HVG	180	360			0.8680602229351865	0.818010605855518					biwhiten	mp_tw	dispersion	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		4	6	4	360	4	6	5	0.7554879933921809	1.0		5.643040210132709	5.445971972230583	5.643040210132709	2.615723099996103	7.08193302154541			3.0	12.0	0.1	-0.006239279848915228	0.0007151412786850789	False
hvg_rule_spectral_plateau	hvg_selection	batch_effect	planted_states_with_batch_effect	7	spectral plateau HVG	180	360			0.8581706345078206	0.844311743846788					biwhiten	mp_tw	spectral_plateau	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		4	5	3	120	4	5	6	0.8525118663343201	1.0		2.8093677848228586	2.669118717521462	2.8093677848228586	2.6282648000051267	5.932730674743652			3.0	12.0	0.1	0.001263005098344023	0.008718447583425291	False
