dataset_id	ablation_id	component_family	repeat	variant_label	n_cells	n_genes	label_key	batch_key	label_n	batch_n	analysis_status	no_call_reason	n_signal_pcs	n_embedding_pcs	accepted_embedding_pcs	cluster_n	selected_hvg_n	runtime_seconds	peak_memory_mb	label_ari	label_nmi	batch_ari	batch_nmi	config_whiten	config_hvg_rule	config_embedding_rule	config_rare_state_guard	config_min_embedding_pcs	batch_aware_fit	run_label	subsample_fraction	source_n_cells	subsample_n_cells
pbmc68k_zheng2017	force_min_embedding_pcs_10	no_call_contract	0	force minimum 10 embedding PCs	1000	13187	cell	batch	11	1	ok		2	10	10	5	2000	45.26607979999972	317.5779809951782	0.1388544949420047	0.2168473531281236			biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	False	default	1.0	1000	1000
pbmc68k_zheng2017	whiten_zscore	biwhitening	0	z-score whitening	1000	13187	cell	batch	11	1	ok		50	50	50	19	2000	58.59324780000316	318.1890163421631	0.090509937843458	0.1711027192896437			zscore	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	default	1.0	1000	1000
pbmc68k_zheng2017	batch_residualized	batch_residualization	0	batch residualized fit	1000	13187	cell	batch	11	1	ok		2	3	3	4	2000	20.165503800002625	503.310791015625	0.0838371833709274	0.1508488455609658			biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	True	default	1.0	1000	1000
kang_ifnb_pbmc	default_v3_3	reference	0	default RMTGuard v3.3	800	15701	cell	batch	8	8	ok		5	8	8	5	2000	17.571382299996912	300.2755126953125	0.5260867545711636	0.610784252984016	0.011420769047823	0.020061662890631	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	embedding_strict_signal	adaptive_embedding	0	strict signal embedding	800	15701	cell	batch	8	8	ok		5	5	5	4	2000	12.627909699993324	299.0473690032959	0.5654756683222464	0.6538551641371174	0.0076302861802157	0.0193451399922757	biwhiten	spectral_stability	strict_signal	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	rare_state_guard_off	rare_state_guard	0	rare-state guard off	800	15701	cell	batch	8	8	ok		5	8	8	3	2000	12.77278880000813	299.0469675064087	0.5777098141030542	0.6626083583122797	0.0086633036871093	0.0135422794901114	biwhiten	spectral_stability	adaptive_near_edge	off	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	force_min_embedding_pcs_10	no_call_contract	0	force minimum 10 embedding PCs	800	15701	cell	batch	8	8	ok		5	10	10	6	2000	16.838341700000456	299.0513525009155	0.7651186848719845	0.7130999646898923	0.0246042817876824	0.0355151240797075	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	batch_residualized	batch_residualization	0	batch residualized fit	800	15701	cell	batch	8	8	ok		6	8	8	6	2000	18.76290689999587	383.5670471191406	0.6846756243150077	0.659968015756764	0.0155754276228299	0.0229727238161852	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	True	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	default_v3_3	reference	1	default RMTGuard v3.3	800	15701	cell	batch	8	8	ok		5	7	7	5	2000	17.184830500002136	299.6586046218872	0.4833118460640038	0.6086270692634147	0.0136722002715709	0.0237532585987152	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	embedding_strict_signal	adaptive_embedding	1	strict signal embedding	800	15701	cell	batch	8	8	ok		5	5	5	4	2000	13.522502399995574	299.046648979187	0.4530513194093905	0.5568053650215402	0.0107308927637664	0.016830351402332	biwhiten	spectral_stability	strict_signal	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	rare_state_guard_off	rare_state_guard	1	rare-state guard off	800	15701	cell	batch	8	8	ok		5	7	7	4	2000	10.791826700005911	299.0464220046997	0.4885035874242597	0.6128134953816243	0.0126321567011708	0.0198198175562572	biwhiten	spectral_stability	adaptive_near_edge	off	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	force_min_embedding_pcs_10	no_call_contract	1	force minimum 10 embedding PCs	800	15701	cell	batch	8	8	ok		5	10	10	5	2000	13.93747470001108	299.05146408081055	0.8028885977302179	0.7721507404762977	0.0210105399803625	0.0423567417446882	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	batch_residualized	batch_residualization	1	batch residualized fit	800	15701	cell	batch	8	8	ok		6	7	7	6	2000	12.875847699993756	383.5665054321289	0.7134335171722015	0.6728809787547037	0.0146731904231371	0.0276969919192341	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	True	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	default_v3_3	reference	2	default RMTGuard v3.3	800	15701	cell	batch	8	8	ok		5	7	7	5	2000	14.018112899997504	299.6582021713257	0.777427709663369	0.7542031224174817	0.0139285918565918	0.0341119629482139	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	embedding_strict_signal	adaptive_embedding	2	strict signal embedding	800	15701	cell	batch	8	8	ok		5	5	5	5	2000	13.18335730000399	299.0466194152832	0.5056091859122993	0.6082715228375619	0.0125138957483732	0.0217883271072212	biwhiten	spectral_stability	strict_signal	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	rare_state_guard_off	rare_state_guard	2	rare-state guard off	800	15701	cell	batch	8	8	ok		5	6	6	4	2000	11.653148800003692	299.0468273162842	0.8024725386607161	0.7755314033551909	0.015698283470256	0.0304455971543083	biwhiten	spectral_stability	adaptive_near_edge	off	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	force_min_embedding_pcs_10	no_call_contract	2	force minimum 10 embedding PCs	800	15701	cell	batch	8	8	ok		5	10	10	5	2000	17.39300369999546	299.0466594696045	0.5644420962726773	0.5920822013750799	0.0197725515136037	0.0300507376723511	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	batch_residualized	batch_residualization	2	batch residualized fit	800	15701	cell	batch	8	8	ok		5	8	8	5	2000	17.62553740000294	383.5665054321289	0.746938369963883	0.7228818694370971	0.0073900502459518	0.0247831819678013	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	True	subsample80_pilot10	0.8	1000	800
baron_pancreas	default_v3_3	reference	0	default RMTGuard v3.3	800	16359	cell	batch	12	4	ok		14	14	14	5	2000	18.201257300010184	311.7278184890747	0.5734299487434499	0.6731892848496922	0.059239577383122	0.0703281225770546	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
baron_pancreas	embedding_strict_signal	adaptive_embedding	0	strict signal embedding	800	16359	cell	batch	12	4	ok		14	14	14	5	2000	18.26267090000329	311.11529636383057	0.5734299487434499	0.6731892848496922	0.059239577383122	0.0703281225770546	biwhiten	spectral_stability	strict_signal	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
baron_pancreas	rare_state_guard_off	rare_state_guard	0	rare-state guard off	800	16359	cell	batch	12	4	ok		14	16	16	6	2000	15.271806399992784	311.1150646209717	0.5269654502097972	0.6488936323384435	0.0702182186069526	0.0844987194188853	biwhiten	spectral_stability	adaptive_near_edge	off	0	False	subsample80_pilot10	0.8	1000	800
baron_pancreas	force_min_embedding_pcs_10	no_call_contract	0	force minimum 10 embedding PCs	800	16359	cell	batch	12	4	ok		14	17	17	8	2000	20.1802056000015	311.1200122833252	0.5877038614605546	0.6527995402849769	0.042866382461564	0.0617441651106811	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	False	subsample80_pilot10	0.8	1000	800
baron_pancreas	batch_residualized	batch_residualization	0	batch residualized fit	800	16359	cell	batch	12	4	ok		14	21	21	6	2000	18.69159309999668	399.640998840332	0.805392372245527	0.769999545492088	0.0321758152148959	0.0427178312590481	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	True	subsample80_pilot10	0.8	1000	800
baron_pancreas	default_v3_3	reference	1	default RMTGuard v3.3	800	16359	cell	batch	14	4	ok		15	17	17	6	2000	19.008408000008785	311.7264337539673	0.550777173984534	0.6664668791060371	0.0664633507958235	0.0768041794203804	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
baron_pancreas	embedding_strict_signal	adaptive_embedding	1	strict signal embedding	800	16359	cell	batch	14	4	ok		15	15	15	5	2000	15.481388799991691	311.11540031433105	0.5655737744876431	0.6813286909980708	0.0649355622246502	0.0745288186504506	biwhiten	spectral_stability	strict_signal	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
baron_pancreas	rare_state_guard_off	rare_state_guard	1	rare-state guard off	800	16359	cell	batch	14	4	ok		15	18	18	7	2000	12.383871099998942	311.11527729034424	0.5399927035635286	0.6425912873263167	0.0659892261571888	0.0815420707027888	biwhiten	spectral_stability	adaptive_near_edge	off	0	False	subsample80_pilot10	0.8	1000	800
baron_pancreas	force_min_embedding_pcs_10	no_call_contract	1	force minimum 10 embedding PCs	800	16359	cell	batch	14	4	ok		15	17	17	6	2000	17.73412219999591	311.11979484558105	0.550777173984534	0.6664668791060371	0.0664633507958235	0.0768041794203804	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	False	subsample80_pilot10	0.8	1000	800
baron_pancreas	batch_residualized	batch_residualization	1	batch residualized fit	800	16359	cell	batch	14	4	ok		15	20	20	6	2000	19.51241170000867	399.640998840332	0.6735784788862819	0.7117044720776978	0.02882075845531	0.0359983588397372	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	True	subsample80_pilot10	0.8	1000	800
baron_pancreas	default_v3_3	reference	2	default RMTGuard v3.3	800	16359	cell	batch	13	4	ok		16	17	17	7	2000	19.62634820000676	311.7262363433838	0.5519486045849353	0.666840266767445	0.071678622296193	0.0867499120199109	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
baron_pancreas	embedding_strict_signal	adaptive_embedding	2	strict signal embedding	800	16359	cell	batch	13	4	ok		16	16	16	5	2000	18.088166999994428	311.1147222518921	0.5477931006172675	0.6641892299574972	0.0732698691710512	0.0833917694161067	biwhiten	spectral_stability	strict_signal	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
baron_pancreas	rare_state_guard_off	rare_state_guard	2	rare-state guard off	800	16359	cell	batch	13	4	ok		16	18	18	9	2000	14.236268299995572	311.1153745651245	0.5418260249700987	0.6647418064657362	0.0723439389528468	0.0885279663296124	biwhiten	spectral_stability	adaptive_near_edge	off	0	False	subsample80_pilot10	0.8	1000	800
baron_pancreas	force_min_embedding_pcs_10	no_call_contract	2	force minimum 10 embedding PCs	800	16359	cell	batch	13	4	ok		16	18	18	6	2000	18.101651099990704	311.11970043182373	0.5635472918561751	0.6720865810128723	0.0712747272473263	0.0853685952148436	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	False	subsample80_pilot10	0.8	1000	800
baron_pancreas	batch_residualized	batch_residualization	2	batch residualized fit	800	16359	cell	batch	13	4	ok		15	19	19	5	2000	22.396757700000308	399.640998840332	0.5095281523646077	0.632711968971652	0.0643801439281561	0.0840188790236378	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	True	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	default_v3_3	reference	3	default RMTGuard v3.3	800	15701	cell	batch	8	8	ok		5	8	8	4	2000	19.84176429999934	300.27552318573	0.5801679065428373	0.6411592731621855	0.0056417240855503	0.0155396448993088	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	embedding_strict_signal	adaptive_embedding	3	strict signal embedding	800	15701	cell	batch	8	8	ok		5	5	5	5	2000	14.04485079999722	299.0476016998291	0.4969881542304053	0.5983699558574314	0.0088464470526973	0.0201377649815212	biwhiten	spectral_stability	strict_signal	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	rare_state_guard_off	rare_state_guard	3	rare-state guard off	800	15701	cell	batch	8	8	ok		5	8	8	3	2000	13.841302799992263	299.0468692779541	0.5838546107768685	0.6645850854691082	0.0065180341039867	0.0144730103980139	biwhiten	spectral_stability	adaptive_near_edge	off	0	False	subsample80_pilot10	0.8	1000	800
