calibration_type	null_model	repeat	n_cells	n_genes	false_signal_pc_floor	false_signal	false_call	n_signal_pcs	accepted_embedding_pcs	cluster_n	analysis_status	no_call_reason	rare_state_guard	rare_state_guard_selected	rare_state_guard_reason	rare_state_binary_fraction	rare_state_binary_separation	rare_state_binary_silhouette	selected_hvg_n	mp_edge	selected_edge	bulk_ks	null_false_positive_rate	runtime_seconds	peak_memory_mb
realistic_null	gene_permutation_null	7	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.440002421104789	6.63451443562501	0.0105030465120679		0.1178488000005018	6.621131896972656
realistic_null	library_stratified_gene_null	7	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.334842786230651	6.526178588835402	0.0173769050833501		0.1285498999932315	6.620984077453613
realistic_null	library_multinomial_null	8	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.078409833571237	6.262000407688541	0.0191849862402126		0.2317503999802284	6.620881080627441
realistic_null	gene_permutation_null	8	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.438192215119587	6.63264955468942	0.0085862529665806		0.2097272000100929	6.622818946838379
realistic_null	library_stratified_gene_null	8	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.251455377080497	6.440272569927233	0.0145074234402876		0.2142886000219732	6.620770454406738
realistic_null	library_multinomial_null	9	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.024889496186127	6.206863557146781	0.0111054238088146		0.126522600010503	6.621029853820801
realistic_null	gene_permutation_null	9	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.4504753593706186	6.645303695560743	0.0096532754251595		0.11793919999036	6.620804786682129
realistic_null	library_stratified_gene_null	9	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.341494151679636	6.533030850248113	0.0216811542974674		0.1231445000157691	6.621181488037109
realistic_null	library_multinomial_null	10	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.2006951264347405	6.387979171005276	0.0178445709523831		0.1283066000032704	6.620881080627441
realistic_null	gene_permutation_null	10	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.486399788034583	6.682313175523294	0.0125222649175013		0.1334601000125985	6.620733261108398
realistic_null	library_stratified_gene_null	10	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.226958199526435	6.415035486540145	0.0114572987668615		0.1333460999885574	6.620962142944336
realistic_null	library_multinomial_null	11	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.103198866320121	6.287538161382344	0.0097022089667406		0.2179136999766342	6.62095832824707
realistic_null	gene_permutation_null	11	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					150	3.4109371712737886	3.566553827143785	0.0136472278702107		0.1712127999926451	6.620705604553223
realistic_null	library_stratified_gene_null	11	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.3203909480386224	6.511290251403707	0.0151788205108359		0.1359133000078145	6.620820045471191
realistic_null	library_multinomial_null	12	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.030805324576823	6.212958065547606	0.0091964407756922		0.147389399993699	6.621028900146484
realistic_null	gene_permutation_null	12	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.503963527404757	6.700407405117541	0.0131102144712088		0.1338411000033375	6.621027946472168
realistic_null	library_stratified_gene_null	12	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.270727395240409	6.46012667468138	0.0116383544996839		0.132221700012451	6.620919227600098
realistic_null	library_multinomial_null	13	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.094412750864337	6.278486672576463	0.0155788823147322		0.2178883000160567	6.625275611877441
realistic_null	gene_permutation_null	13	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.515401744571689	6.712191098965719	0.0148660605333961		0.1277304000104777	6.620755195617676
realistic_null	library_stratified_gene_null	13	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.286717105264253	6.476599333391414	0.0144118242637238		0.1232467000081669	6.620820045471191
realistic_null	library_multinomial_null	14	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	5.946305197268244	6.125905720255981	0.0114999657814414		0.1323384999996051	6.620915412902832
realistic_null	gene_permutation_null	14	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.490398722727797	6.686432892910713	0.0106634493358793		0.1304740000050515	6.620755195617676
