calibration_type	prevalence	effect_size	repeat	n_cells	n_genes	ari	nmi	rare_precision	rare_recall	rare_f1	power_pass	rare_ari_floor	rare_f1_floor	fixed_ari	fixed_nmi	fixed_rare_f1	n_signal_pcs	accepted_embedding_pcs	cluster_n	analysis_status	no_call_reason	rare_state_guard	rare_state_guard_selected	rare_state_guard_reason	rare_state_binary_fraction	rare_state_binary_separation	rare_state_binary_silhouette	selected_hvg_n	mp_edge	selected_edge	bulk_ks	null_false_positive_rate	runtime_seconds	peak_memory_mb
rare_state_power	0.02	2.5	0	220	500	0.0381232715992285	0.1490066525972708	1.0	1.0	1.0	1	0.8	0.7	0.0026197611365322	0.0077962173956993	0.0560747663551401	2	2	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0181818181818181	5.655726270468414	0.738275631277945	500	6.289617999930262	6.479587845860724	0.0237338185349392		4.614203199991607	21.36713695526123
rare_state_power	0.02	2.5	1	220	500	0.0	0.0	0.0181818181818181	1.0	0.0357142857142857	0	0.8	0.7	-0.0096973726060913	0.0255497620941203	0.0601503759398496	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.303084390177279	6.493460971155958	0.0110917215712012		0.1314489000069443	6.62300968170166
rare_state_power	0.02	2.5	2	220	500	0.0	0.0	0.0181818181818181	1.0	0.0357142857142857	0	0.8	0.7	0.006700004461262	0.0362706156823455	0.0754716981132075	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.203909252387426	6.391290375510591	0.0114527244415647		0.1315508999978192	6.620748519897461
rare_state_power	0.02	2.5	3	220	500	0.0	0.0	0.0181818181818181	1.0	0.0357142857142857	0	0.8	0.7	0.0010506856727473	0.0068397978418667	0.054054054054054	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.252528199914615	6.441377795999277	0.0115239074978538		0.121492299993406	6.620705604553223
rare_state_power	0.02	4.0	0	220	500	0.0605270414624155	0.1881702278028306	1.0	1.0	1.0	1	0.8	0.7	-0.000231558848727	3.128030678470517e-05	0.0363636363636363	2	3	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0181818181818181	5.770197713121021	0.6611944654867231	500	6.209105925274776	6.396644007238331	0.0163826141667186		2.154497499999706	10.280495643615724
rare_state_power	0.02	4.0	1	220	500	0.0	0.0	0.0181818181818181	1.0	0.0357142857142857	0	0.8	0.7	-0.0039341875284467	0.0293626590398608	0.0655737704918032	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.20997549581103	6.397539842037503	0.0124039994370086		0.1243777999916346	6.620705604553223
rare_state_power	0.02	4.0	2	220	500	0.0	0.0	0.0181818181818181	1.0	0.0357142857142857	0	0.8	0.7	0.0003950560382875	0.000238936136455	0.0388349514563106	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.207607341450862	6.395100160611787	0.0109312912197144		0.1330574000021442	6.621003150939941
rare_state_power	0.02	4.0	3	220	500	0.0518832764649854	0.1698618596612342	1.0	1.0	1.0	1	0.8	0.7	0.0039345995763696	0.0085702155680199	0.0576923076923076	2	3	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0181818181818181	6.729811738290282	0.7248436199960945	500	6.307377913470055	6.497884174813812	0.0193216452265404		2.065259499999229	10.241351127624512
rare_state_power	0.02	6.0	0	220	500	0.0381852917568911	0.1487385433741826	1.0	1.0	1.0	1	0.8	0.7	0.0115924752265947	0.039426796465178	0.0799999999999999	2	3	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0181818181818181	6.773304621890764	0.7298877808240022	500	6.364667188729381	6.556903799165022	0.0227254339481507		1.9098644000041527	10.30027961730957
rare_state_power	0.02	6.0	1	220	500	0.0666509532574143	0.2110345084062283	1.0	1.0	1.0	1	0.8	0.7	0.0003411725805889	0.0321523749470658	0.0695652173913043	2	3	3	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0181818181818181	6.261895140519968	0.6985551583680619	500	6.224322209521872	6.412319879837864	0.015724802171204		2.203925599998911	10.383458137512209
rare_state_power	0.02	6.0	2	220	500	0.0456038513956916	0.1594093991588017	1.0	1.0	1.0	1	0.8	0.7	0.0171216653644854	0.0429894501053664	0.0851063829787234	2	3	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0181818181818181	6.346697819938291	0.7026561598621704	500	6.293235938294343	6.483315059413476	0.0163526412221572		2.2641800999990664	10.45187282562256
rare_state_power	0.02	6.0	3	220	500	0.0642075790600877	0.1975587222183624	1.0	1.0	1.0	1	0.8	0.7	0.0037415555856274	0.03435781948167	0.0727272727272727	2	3	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0181818181818181	6.519089386814732	0.7112730747461931	500	6.222627165121188	6.410573638794769	0.0164615585977254		2.317032699997071	10.314993858337402
rare_state_power	0.04	2.5	0	220	500	0.1177229554183047	0.2978189243468657	1.0	1.0	1.0	1	0.8	0.7	-0.0042704003680907	0.0023951809874383	0.0909090909090909	2	4	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0409090909090909	4.674877845308415	0.5496664561349603	500	6.173422890706886	6.359883212370966	0.0119592673446874		2.0330075999954715	10.513288497924805
rare_state_power	0.04	2.5	1	220	500	0.0922080821237929	0.264087952200164	1.0	1.0	1.0	1	0.8	0.7	-0.019108407794781	0.0522181961805705	0.1294964028776978	2	3	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0409090909090909	4.329641634800183	0.5820937106503189	500	6.237393117385818	6.425785577711811	0.0169901217388027		2.0478318000095896	10.291062355041504
rare_state_power	0.04	2.5	2	220	500	0.052069740751804	0.1518563596772628	1.0	0.4444444444444444	0.6153846153846153	0	0.8	0.7	-0.0047904777754426	0.0010854134643543	0.0857142857142857	2	3	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0181818181818181	4.841815232547595	0.5996324446266431	500	6.179465671789092	6.366108507906544	0.0097169983198414		3.17272449999291	10.373298645019531
rare_state_power	0.04	2.5	3	220	500	0.1196199323946752	0.2989938406231772	1.0	1.0	1.0	1	0.8	0.7	-0.004815070888526	0.0013670634342236	0.0869565217391304	2	3	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0409090909090909	4.784561482362417	0.6385496173577964	500	6.203148696967198	6.390506848489227	0.0154503008798102		1.8646338999969885	10.102025032043455
rare_state_power	0.04	4.0	0	220	500	0.1436838103966908	0.345110545433456	1.0	1.0	1.0	1	0.8	0.7	-0.0051158035910314	0.02858715903313	0.1259842519685039	2	4	3	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0409090909090909	4.796863781295487	0.5589166070920453	500	6.128370544649988	6.3134701179761965	0.0125985918355486		2.155460299996776	10.48444366455078
rare_state_power	0.04	4.0	1	220	500	0.1076774950205223	0.2821459119574113	1.0	1.0	1.0	1	0.8	0.7	0.0094670818774286	0.0374731271317652	0.1403508771929824	2	4	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0409090909090909	4.669512032342291	0.5479986194448314	500	6.198110384416349	6.38531636016887	0.0148028762591715		2.4098660000017844	10.57757568359375
rare_state_power	0.04	4.0	2	220	500	0.0836461111115351	0.2551800631233128	1.0	1.0	1.0	1	0.8	0.7	-0.0180497172122857	0.0528893324596597	0.1304347826086956	2	4	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0409090909090909	4.735495529016459	0.5509450864327738	500	6.31000626621952	6.500591913587495	0.0218484702022317		2.17403789999662	10.421467781066896
rare_state_power	0.04	4.0	3	220	500	0.1090057501649987	0.2840274002199374	1.0	1.0	1.0	1	0.8	0.7	-0.0102606513534539	0.0078384050422881	0.1007194244604316	2	4	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0409090909090909	4.68981965041502	0.5473361239170564	500	6.146219530327048	6.331858209376233	0.0108001838976703		2.3029151000082493	10.537724494934082
rare_state_power	0.04	6.0	0	220	500	0.1354999078108716	0.3394930178018711	1.0	1.0	1.0	1	0.8	0.7	-0.036804964636424	0.0403660390803778	0.1132075471698113	2	2	3	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0409090909090909	4.703575244369731	0.7370660327703591	500	6.14539102025356	6.331004675218451	0.0153713249239766		1.8515801999892567	9.977832794189451
rare_state_power	0.04	6.0	1	220	500	0.1382684083504008	0.3413969934838097	1.0	1.0	1.0	1	0.8	0.7	0.0240133378716472	0.0458235202748159	0.1538461538461538	2	5	3	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0409090909090909	4.8419579010189775	0.5035403330030769	500	6.16004660345751	6.3461029115188685	0.0185138282965788		2.590660400004708	10.63354778289795
rare_state_power	0.04	6.0	2	220	500	0.1058204177002233	0.2790900133430972	1.0	1.0	1.0	1	0.8	0.7	0.0090138789034473	0.0694884377504861	0.1538461538461538	2	3	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0409090909090909	4.767269618087889	0.6322922988853987	500	6.175298660170839	6.361815637046104	0.0137174933123134		2.588831700006267	10.129746437072754
rare_state_power	0.04	6.0	3	220	500	0.1420491517781603	0.3439910759404103	1.0	1.0	1.0	1	0.8	0.7	0.0378570555338266	0.0867405852007463	0.1782178217821782	2	4	3	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0409090909090909	4.5916671486921565	0.53082860826414	500	6.209346556553644	6.396891906476394	0.0139841286150094		2.225577399993199	10.459318161010742
