run_label	dataset_id	dataset_label	dataset_order	ablation_id	variant_label	variant_order	n_repeats	mean_label_ari	label_ari_ci95_low	label_ari_ci95_high	label_ari_delta_vs_default_mean	label_ari_delta_vs_default_ci95_low	label_ari_delta_vs_default_ci95_high	paired_n_label_delta	mean_batch_ari	batch_ari_ci95_low	batch_ari_ci95_high	batch_ari_delta_vs_default_mean	batch_ari_delta_vs_default_ci95_low	batch_ari_delta_vs_default_ci95_high	paired_n_batch_delta	no_call_rate	mean_cluster_n	interpretation
subsample80_pilot10	baron_pancreas	Baron pancreas	0	default_v3_3	Default RMTGuard	-1	20	0.5719286770530546	0.5495937021638073	0.5942636519423019	0.0	0.0	0.0	20	0.06832570104317073	0.06258546347386912	0.07406593861247235	0.0	0.0	0.0	20	0.0	6.1	reference
subsample80_pilot10	baron_pancreas	Baron pancreas	0	embedding_strict_signal	Strict signal embedding	0	20	0.5619231762538365	0.5557157764169607	0.5681305760907123	-0.010005500799218353	-0.03313555184338626	0.013124550244949558	20	0.07121215100459219	0.06719806814840389	0.07522623386078049	0.0028864499614214756	-0.0009446089555205546	0.006717508878363506	20	0.0	5.4	strict-signal embedding ablation
subsample80_pilot10	baron_pancreas	Baron pancreas	0	force_min_embedding_pcs_10	Forced min 10 PCs	1	20	0.5616881225012696	0.546995891564331	0.5763803534382083	-0.010240554551785113	-0.02973345961648771	0.009252350512917482	20	0.07212722912893021	0.06497111878916181	0.07928333946869862	0.003801528085759494	-0.002750363606723568	0.010353419778242556	20	0.0	6.35	forced-PC sensitivity control; do not promote as default
subsample80_pilot10	baron_pancreas	Baron pancreas	0	rare_state_guard_off	Rare-state guard off	2	20	0.5630074429074832	0.5435331884893737	0.5824816973255926	-0.0089212341455716	-0.03479932719687563	0.01695685890573243	20	0.06845363367196225	0.06275781170417359	0.07414945563975091	0.00012793262879152377	-0.007191396878753598	0.007447262136336646	20	0.0	6.95	rare-state guard ablation
subsample80_pilot10	baron_pancreas	Baron pancreas	0	batch_residualized	Batch residualized	3	20	0.6167489136180714	0.5730892341210415	0.6604085931151013	0.044820236565016644	-0.0070727362291226475	0.09671320935915594	20	0.04802690308318657	0.03874696996671525	0.057306836199657894	-0.02029879795998416	-0.03194355260092739	-0.008654043319040926	20	0.0	6.75	batch-aware signal: higher label ARI and lower batch ARI
subsample80_pilot10	baron_pancreas	Baron pancreas	0	hvg_rule_dispersion	dispersion HVG	999	20	0.5699217781873133	0.547605581083012	0.5922379752916145	-0.0020068988657415466	-0.013004314426053997	0.008990516694570905	20	0.06913776043173367	0.06503308468755412	0.07324243617591322	0.0008120593885629259	-0.0046133303291465725	0.006237449106272425	20	0.0	6.2	component sensitivity check
subsample80_pilot10	baron_pancreas	Baron pancreas	0	whiten_zscore	z-score whitening	999	20	0.6583540702543067	0.6242911051606943	0.6924170353479191	0.086425393201252	0.04442528514467279	0.12842550125783123	20	0.08491565585116764	0.0694058055363446	0.10042550616599069	0.016589954807996916	0.0002632351182722606	0.03291667449772157	20	0.0	10.5	component sensitivity check
subsample80_pilot10	kang_ifnb_pbmc	Kang IFN-beta PBMC	1	default_v3_3	Default RMTGuard	-1	20	0.6292951734683343	0.5781914746806379	0.6803988722560307	0.0	0.0	0.0	20	0.017691754426921256	0.014160419261335103	0.021223089592507408	0.0	0.0	0.0	20	0.0	5.05	reference
subsample80_pilot10	kang_ifnb_pbmc	Kang IFN-beta PBMC	1	embedding_strict_signal	Strict signal embedding	0	20	0.5626752784939912	0.5047559601897723	0.6205945967982102	-0.06661989497434304	-0.1262511072113277	-0.006988682737358351	20	0.013763237759059585	0.010938940263147692	0.01658753525497148	-0.0039285166678616696	-0.008127257672063414	0.0002702243363400742	20	0.0	4.8	strict-signal embedding ablation
subsample80_pilot10	kang_ifnb_pbmc	Kang IFN-beta PBMC	1	force_min_embedding_pcs_10	Forced min 10 PCs	1	20	0.6704806217480328	0.6270078558176129	0.7139533876784527	0.04118544827969854	-0.03319587682263035	0.11556677338202744	20	0.02077459006603074	0.018218917587151957	0.02333026254490952	0.0030828356391094857	-0.00045183286979828905	0.0066175041480172605	20	0.0	5.35	forced-PC sensitivity control; do not promote as default
